id_evento,nombre_evento,url_evento,codigo_postal,direccion,horario,fecha_inicio,fecha_fin,organizacion,id_ciudad
13,Artificios teatrales. La escena musical de los felices veinte,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ed5f65f96c83910VgnVCM1000001d4a900aRCRD,28015,CALLE AMANIEL 29,,2024-10-16,2025-03-08,Centro Cultural Clara del Rey - Museo ABC (Centro),1
14,ArTrics - Laboratorio de Creación 2024/25,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7ae9c00a26e12910VgnVCM1000001d4a900aRCRD,0,,,2024-10-01,2025-07-31,,1
15,Asalto a la lectura. Tres cerditos y más,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6aec3e3332fe4910VgnVCM1000001d4a900aRCRD,28015,CALLE AMANIEL 29,11:00,2025-03-01,2025-03-01,Centro Cultural Clara del Rey - Museo ABC (Centro),1
16,Asombro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=85b965d37f624910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,2025-01-18,2025-03-23,Matadero Madrid,1
17,Atlantiques + Dahomey,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b9464926f415910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,19:30,2025-03-01,2025-03-01,Cineteca Madrid,1
18,Baile de Carnaval. Concierto de Origen,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1551fcf4aade4910VgnVCM2000001f4a900aRCRD,0,,19:30,2025-03-01,2025-03-01,,1
19,Baile de Carnaval. Concierto de Versioneta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae02fcf4aade4910VgnVCM2000001f4a900aRCRD,0,,21:15,2025-03-01,2025-03-01,,1
20,Baile de Mayores en Centro Cultural Almirante Churruca,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=beaf2f9cb66d1610VgnVCM2000001f4a900aRCRD,28024,CALLE FUENTE DEL TIRO 72,16:30,2024-10-04,2025-06-27,Centro Sociocultural Almirante Churruca (Latina),1
21,Baile de Mayores en Centro Sociocultural El Greco,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=77922f9cb66d1610VgnVCM2000001f4a900aRCRD,28011,CALLE EL GRECO 29,18:00,2024-10-03,2025-06-26,Centro Sociocultural El Greco (Latina),1
22,Beethoven. Del corazón al corazón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3cd9168eeb173910VgnVCM1000001d4a900aRCRD,28014,CALLE ALAMEDA 15,,2024-12-03,2025-03-30,Espacio Cultural Serrería Belga,1
23,Biblioajedrez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=37340defdf5e1910VgnVCM2000001f4a900aRCRD,28024,CALLE GRANJA DE TORREHERMOSA 1,18:00,2024-09-30,2025-05-26,Biblioteca Pública Municipal Ángel González (Latina),1
24,Bodegones y Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a903ec7bdcf54910VgnVCM1000001d4a900aRCRD,28022,CALLE FEBRERO 4,,2025-02-01,2025-03-31,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),1
25,By Lucipun ' Muladar creativo',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=32d3ef5066735910VgnVCM2000001f4a900aRCRD,28001,CALLE NUÑEZ DE BALBOA 40,,2025-03-01,2025-03-21,"Espacio Cultural Núñez de Balboa, 40 (Salamanca)",1
26,Caminamos juntas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a54e02b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,10:30,2025-01-07,2025-03-25,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,1
27,Camino hacia la autonomía financiera,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b24e4778bbc4910VgnVCM2000001f4a900aRCRD,28045,PASEO CHOPERA 10,10:30,2025-02-12,2025-03-05,Espacio de Igualdad Juana Doña. Arganzuela,1
28,Campamento de carnaval y fiestas del mundo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c61c239147bd4910VgnVCM2000001f4a900aRCRD,28028,CALLE BOSTON 3,,2025-02-28,2025-03-03,Colegio Público Guindalera,1
29,Campamentos urbanos Días sin cole. Distrito San Blas - Canillejas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7859110d84384910VgnVCM2000001f4a900aRCRD,28022,AVENIDA CANILLEJAS A VICALVARO 56,,2025-02-28,2025-03-03,Colegio Público Alberto Alcocer,1
30,Caperucita camina sola,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1166d242f8884910VgnVCM2000001f4a900aRCRD,0,,,2025-02-20,2025-03-09,,1
31,Carnaval en familia. Espectáculo familiar. Carnaval en la pista de circo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d22157fd8e15910VgnVCM1000001d4a900aRCRD,28042,CALLE BOTICA 7,12:30,2025-03-01,2025-03-01,Centro Cultural - Centro Socio Cultural Villa de Barajas,1
32,Carnaval en Matadero,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=38950d5a68815910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,10:30,2025-03-01,2025-03-01,Matadero Madrid,1
33,Centro de Interpretación del Paisaje de la Luz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=842dc5eb8e915810VgnVCM1000001d4a900aRCRD,28014,PLAZA CIBELES 1,,2022-12-14,2026-01-14,CentroCentro,1
34,Chatines: club de lectura infantil,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=146e23279fad4910VgnVCM1000001d4a900aRCRD,28036,CALLE MANUEL FERRERO 1,17:30,2025-02-27,2025-06-19,Biblioteca Pública Municipal Dámaso Alonso (Chamartín),1
35,Chup-Chup,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e4cc2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,CALLE FEBRERO 4,19:00,2025-03-01,2025-03-01,Centro Cultural José Luis López Vázquez (San Blas - Canillejas),1
36,Ciclismo por Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=db40e3f0c91ea710VgnVCM2000001f4a900aRCRD,0,,00:00,2024-09-01,2025-06-30,,1
37,"CICLO BEBÉS. La compañía CamelCat Producciones, presenta 'Baby cuentos'",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5e1bb8d9a2825910VgnVCM1000001d4a900aRCRD,28037,CALLE HERMANOS GARCIA NOBLEJAS 14,,2025-03-01,2025-03-01,Centro Cultural Príncipe de Asturias (Ciudad Lineal),1
38,Cine familiar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d4fd2e979f0a0910VgnVCM2000001f4a900aRCRD,28045,PLAZA LEGAZPI 8,,2024-09-15,2025-06-29,Cineteca Madrid,1
39,Círculo de ciudadanos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba197bfae6da4910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,17:00,2025-02-11,2025-12-16,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),1
40,Clara Torres Morenilla,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d25a6e29da735910VgnVCM2000001f4a900aRCRD,28028,CALLE ENRIQUE D'ALMONTE 1,,2025-03-01,2025-03-15,Centro Cultural Quinta del Berro - Rafael Altamira (Salamanca),1
41,Clases de árabe para niños,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=60ceedb3e8133910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,2024-12-13,2025-05-30,Biblioteca Pública Municipal San Fermín (Usera),1
42,Club de lectura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b66106762794910VgnVCM1000001d4a900aRCRD,28037,CALLE SAN ROMAN DEL VALLE 8,11:00,2024-09-25,2025-06-04,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),1
43,Club de lectura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e1b3ae3a19a23910VgnVCM1000001d4a900aRCRD,28025,CALLE GENERAL RICARDOS 252,12:00,2024-11-04,2025-06-16,Biblioteca Pública Municipal La Chata (Carabanchel),1
44,Club de lectura,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0fd177728c21910VgnVCM2000001f4a900aRCRD,28053,CALLE PUERTO DEL MONASTERIO 1,10:00,2024-09-27,2025-06-13,Biblioteca Pública Municipal Vallecas (Puente de Vallecas),1
45,Club de lectura de novela gráfica. Premios Nacionales de cómic,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f5210dae9a6da810VgnVCM2000001f4a900aRCRD,28039,CALLE FRANCOS RODRIGUEZ 67,14:45,2024-09-24,2025-05-27,Biblioteca Pública Municipal Manuel Vázquez Montalbán (Tetuán),1
46,Club de lectura en BPM María Zambrano,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f6dc84c649ef4910VgnVCM2000001f4a900aRCRD,28029,PLAZA DONOSO 5,11:00,2025-02-19,2025-06-25,Biblioteca Pública Municipal María Zambrano (Tetuán),1
47,Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dc99b2481b1e1910VgnVCM2000001f4a900aRCRD,28002,CALLE MANTUANO 51,19:00,2024-10-08,2025-04-29,Biblioteca Pública Municipal Francisco Ibáñez (Chamartín),1
48,Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=663cb2481b1e1910VgnVCM2000001f4a900aRCRD,28022,CALLE MARIA SEVILLA DIAGO 15,19:00,2024-10-08,2025-04-29,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),1
49,Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=64c2b01c7d402910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,19:00,2024-10-08,2025-04-29,Biblioteca Pública Municipal Iván de Vargas (Centro),1
50,Club de lectura en inglés 'Reading Club',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4e37c32aae520910VgnVCM2000001f4a900aRCRD,28004,CALLE BARCELO 4,19:00,2024-10-07,2025-04-28,Biblioteca Pública Municipal Mario Vargas Llosa (Centro),1
51,Club de lectura Naomi Klein,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=342b3a03802e2910VgnVCM1000001d4a900aRCRD,28005,CALLE SAN JUSTO 5,19:00,2025-01-29,2025-05-28,Biblioteca Pública Municipal Iván de Vargas (Centro),1
52,Club de lectura 'Amigas de las letras'. Espacio de Igualdad Carme Chacón,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9da8470052eb2910VgnVCM2000001f4a900aRCRD,28043,CALLE MATAPOZUELOS 2,17:00,2025-01-09,2025-03-27,Espacio de Igualdad Carme Chacón. Hortaleza,1
53,Club de lectura 'Veinte deseos',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b75aa37147a02910VgnVCM2000001f4a900aRCRD,28022,CALLE MARIA SEVILLA DIAGO 15,19:00,2024-10-02,2025-06-25,Biblioteca Pública Municipal José Hierro (San Blas-Canillejas),1
54,Club de lectura (infantil),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6304ee4e073b2910VgnVCM1000001d4a900aRCRD,28041,AVENIDA SAN FERMIN 10,18:00,2024-10-02,2025-06-18,Biblioteca Pública Municipal San Fermín (Usera),1
55,Club de lectura (infantil),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c4bf9ea99e61910VgnVCM2000001f4a900aRCRD,28028,AVENIDA TOREROS 5,18:00,2024-09-30,2025-06-09,Biblioteca Pública Municipal David Gistau (Salamanca),1
56,Club de lectura (infantil),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=03cbf9ea99e61910VgnVCM2000001f4a900aRCRD,28050,CALLE PRINCESA DE EBOLI 29,18:00,2024-10-24,2025-06-19,Biblioteca Pública Municipal María Lejárraga (Hortaleza),1
57,Club de lectura. Retiro,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d5e34dbe8f624910VgnVCM2000001f4a900aRCRD,28007,PLAZA DAOIZ Y VELARDE 2,18:00,2025-01-16,2025-05-29,Centro Sociocultural Clara Campoamor (Retiro),1
58,Club de lectura: autoras africanas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c278a6f664cb4910VgnVCM2000001f4a900aRCRD,28007,CALLE ARREGUI Y ARUEJ 31,17:30,2025-02-13,2025-03-27,Espacio de Igualdad Elena Arnedo Soriano. Retiro,1
59,Club de lectura: 'Mujeres escritoras y lectoras',http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9915b7a12d044910VgnVCM2000001f4a900aRCRD,28039,CALLE ALMANSA 9,12:00,2025-01-07,2025-03-25,Centro Sociocultural José de Espronceda (Tetuán),1
60,Coder Dojo · Grupo de trabajo 2024-2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c98b60f928d2910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 14,,2024-11-16,2025-07-26,Medialab Matadero,1
61,Colección de ilustraciones Presente Continú0. Cosmo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=98e33e8ae27a4910VgnVCM1000001d4a900aRCRD,28045,PASEO CHOPERA 10,,2025-02-24,2025-03-15,Sala de exposiciones La Lonja. Centro Cultural Casa del Reloj (Arganzuela),1
62,Concurso de Disfraces y Baile con Orquesta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3af2292bc8325910VgnVCM2000001f4a900aRCRD,28041,CALLE ARAMA 1,21:30,2025-03-01,2025-03-01,Centro Municipal de Mayores Nuestra Señora de los Ángeles,1
63,Concurso de Disfraces y Baile con Orquesta,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41f2ce6eb6ef4910VgnVCM1000001d4a900aRCRD,28021,CALLE CONCEPCION DE LA OLIVA 1,21:30,2025-03-01,2025-03-01,Centro Municipal de Mayores La Platanera,1
64,Conectores de la luz,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fae4ebbe36624910VgnVCM1000001d4a900aRCRD,28045,PLAZA LEGAZPI 8,,2025-01-18,2025-03-23,Matadero Madrid,1
65,Conoce tu parque: Monumentos históricos y arquitectónicoa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=df9109b11b535910VgnVCM1000001d4a900aRCRD,28027,CALLE ALCALA 527,,2025-02-24,2025-03-06,Parque Quinta de los Molinos,1
66,Construimos herramientas para el empoderamiento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d48ab1ed8d964910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,18:15,2025-01-08,2025-03-26,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,1
67,Correr por Madrid,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=712a8daaa32d4710VgnVCM1000001d4a900aRCRD,0,,00:00,2024-09-01,2025-06-30,,1
68,Cuatro historias de alquiler,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3171a8c219315910VgnVCM2000001f4a900aRCRD,28022,CALLE BOLTAÑA 27,19:00,2025-03-01,2025-03-01,Centro Cultural Buero Vallejo (San Blas - Canillejas),1
69,Cumpleaños,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ecfee2fc6e6c1910VgnVCM1000001d4a900aRCRD,28012,CALLE PRINCIPE 25,18:30,2025-02-27,2025-03-09,Teatro Español,1
70,Curar las aguas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=589c4d742c535910VgnVCM2000001f4a900aRCRD,28028,AVENIDA TOREROS 5,,2025-02-28,2025-03-15,Centro Cultural Buenavista (Salamanca),1
71,Curso sobre la historia del Barrio del Pilar,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c826b7021b7b1910VgnVCM2000001f4a900aRCRD,28029,AVENIDA MONFORTE DE LEMOS 38,11:30,2024-10-14,2025-04-28,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),1
72,De Casa de Campo a Madrid Río I,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f213099c7c2d8810VgnVCM2000001f4a900aRCRD,28011,PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO) ,11:00,2025-03-01,2025-03-01,Centro de Información y Educación Ambiental de Casa de Campo,1
73,Días no lectivos 28 de febrero y 3 marzo. Campamento Urbano de Villaverde,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=aae7755c2a384910VgnVCM2000001f4a900aRCRD,0,,,2025-02-28,2025-03-03,,1
74,Días sin cole 28 de febrero y 3 de marzo 2025. Distrito de Chamartín,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2d85672756474910VgnVCM1000001d4a900aRCRD,0,,,2025-02-28,2025-03-03,,1
75,Educación pública,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3b349c4490405910VgnVCM1000001d4a900aRCRD,28029,PLAZA DONOSO 5,,2025-02-17,2025-03-17,Biblioteca Pública Municipal María Zambrano (Tetuán),1
76,Ejercitando nuestro cuerpo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=603002b68bf54910VgnVCM2000001f4a900aRCRD,28022,PLAZA EURIPIDES 1,10:00,2025-01-08,2025-03-26,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,1
77,El Bosque de los Recuerdos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4eea2ed891ad4910VgnVCM2000001f4a900aRCRD,28029,PLAZA DONOSO 5,11:30,2025-02-26,2025-07-23,Biblioteca Pública Municipal María Zambrano (Tetuán),1
78,El mago Rafathor,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=70444d742c535910VgnVCM2000001f4a900aRCRD,28035,CALLE ANTONIO MACHADO 20,12:00,2025-03-01,2025-03-01,Centro Cultural Julio Cortázar (Moncloa - Aravaca),1
79,El Retiro a través de la música,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=44d9c0b0864b1810VgnVCM2000001f4a900aRCRD,28009,PASEO FERNAN NUÑEZ 2,11:00,2025-03-01,2025-03-01,Centro de Información y Educación Ambiental de El Huerto de El Retiro,1
80,Empoderamiento y relax,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3713582a56f54910VgnVCM1000001d4a900aRCRD,28022,PLAZA EURIPIDES 1,10:00,2025-01-08,2025-03-26,Espacio de Igualdad Lucía Sánchez Saornil. San Blas-Canillejas,1
81,En calma. Taller de relajación,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2c6aed50c190910VgnVCM1000001d4a900aRCRD,28043,CALLE MATAPOZUELOS 2,11:00,2025-01-13,2025-04-28,Espacio de Igualdad Carme Chacón. Hortaleza,1
